; test
1465199463,2016-06-06 00:51:03,,F,F,FF, ;
1465199642,2016-06-06 00:54:02,Ben Montet,M,M,MMM, ;
1465200919,2016-06-06 01:15:19,Baraffe,M,F,MM,First was comment not question ;
1465202136,2016-06-06 01:35:36,France,M,M,MMMF, ;
1465202143,2016-06-06 01:35:43,Kevin france,M,M,MMMF, ;
1465205109,2016-06-06 02:25:09,Egeland,M,M,MFM, ;
1465205116,2016-06-06 02:25:16,Ricky Egeland,M,M,MFM, ;
1465205121,2016-06-06 02:25:21,Egeland,M,M,MFM,Comment from first person ;
1465206192,2016-06-06 02:43:12,NadÃ¨ge Meunier,M,F,MF, ;
1465206199,2016-06-06 02:43:19,Meunier ,M,F,MF, ;
1465208193,2016-06-06 03:16:33,Faherty,M,F,MFM, ;
1465208201,2016-06-06 03:16:41,Faherty,M,F,MFMM, ;
1465208222,2016-06-06 03:17:02,Jacqueline Faherty,M,F,MFMM, ;
1465209360,2016-06-06 03:36:00,Dupuy,M,M,FF, ;
1465209384,2016-06-06 03:36:24,Trent Dupuy (Plenary),M,M,FF, ;
1465217362,2016-06-06 05:49:22,,,,, ;
1465217434,2016-06-06 05:50:34,Gagne,F,M,MMMM, ;
1465217624,2016-06-06 05:53:44,Sofie Liljegren,F,F,MFFMM, ;
1465217638,2016-06-06 05:53:58,De Bruijne,M,M,MMMMM, ;
1465218451,2016-06-06 06:07:31,Roelens ,M,F,MM, ;
1465219436,2016-06-06 06:23:56,Cody,M,F,MFMFF,Third question was admittedly a comment ;
1465219944,2016-06-06 06:32:24,Sara Bladh,F,F,FM, ;
1465223953,2016-06-06 07:39:13,Sean Matt,M,M,MF, ;
1465223974,2016-06-06 07:39:34,Douglas,M,F,MMF,3rd was a comment, related to 1st ;
1465224284,2016-06-06 07:44:44,Pascal Tremblin,F,M,MMMM, ;
1465224829,2016-06-06 07:53:49,Rebull,M,F,MF, ;
1465225246,2016-06-06 08:00:46,Ben Burningham,F,M,FMFMMM, ;
1465226163,2016-06-06 08:16:03,Jenny Patience (Splinter),F,F,MMM, ;
1465227218,2016-06-06 08:33:38,Chas Beichman,,,FF, ;
1465244742,2016-06-06 13:25:42,Paladini,F,F,M, ;
1465284391,2016-06-07 00:26:31,Spina,,,MM, ;
1465284885,2016-06-07 00:34:45,Morley,M,F,MMFMMF, ;
1465284934,2016-06-07 00:35:34,Caroline Morley (Plenary),M,F,MMFMMF, ;
1465285634,2016-06-07 00:47:14,Morley,M,F,MMFMM,4th was a comment ;
1465286133,2016-06-07 00:55:33,Michael R. Line,M,M,MMF, ;
1465286134,2016-06-07 00:55:34,Line,M,M,MMF, ;
1465286182,2016-06-07 00:56:22,Line,M,M,MMF, ;
1465287335,2016-06-07 01:15:35,Metchev,M,M,MMM,3rd was a self-admitted comment ;
1465287339,2016-06-07 01:15:39,Stanimir Metchev,M,M,MMM, ;
1465287343,2016-06-07 01:15:43,Metchev,M,M,MMM, ;
1465288499,2016-06-07 01:34:59,Giles,M,F,MMMM,Didn't include repeat question from first questioner ;
1465288505,2016-06-07 01:35:05,Helen Giles,M,F,MMMMM, ;
1465288506,2016-06-07 01:35:06,Giles,M,F,MMMMM,2nd was a self-admitted "comment-like question ;
1465292130,2016-06-07 02:35:30,,,,, ;
1465293083,2016-06-07 02:51:23,JofrÃ©,M,F,MMM, ;
1465293358,2016-06-07 02:55:58,Pinsonneault,M,M,MFMFMM, ;
1465293373,2016-06-07 02:56:13,Marc Pinsonneault,M,M,MFMFMM, ;
1465294476,2016-06-07 03:14:36,Vardan Adibekyan,M,M,FM, ;
1465294477,2016-06-07 03:14:37,Adibekyan ,M,M,MM, ;
1465295823,2016-06-07 03:37:03,Sergi Blanco-Cuaresma,M,M,MMFFM, ;
1465304016,2016-06-07 05:53:36,Cameron Bell,F,M,MMM, ;
1465304019,2016-06-07 05:53:39,Bell,F,M,MMM, ;
1465304915,2016-06-07 06:08:35,Adam Kraus,F,M,M, ;
1465304920,2016-06-07 06:08:40,Kraus,F,M,M, ;
1465305667,2016-06-07 06:21:07,Garrett Somers,F,M,MMFF, ;
1465305705,2016-06-07 06:21:45,Somers,F,M,MMFF, ;
1465306364,2016-06-07 06:32:44,Jieun Choi,F,F,MM, ;
1465306366,2016-06-07 06:32:46,Choi,F,F,MM, ;
1465309551,2016-06-07 07:25:51,Parker,F,M,MMM, ;
1465309565,2016-06-07 07:26:05,Richard Parker (Tuesday),F,M,MMMM, ;
1465310240,2016-06-07 07:37:20,Nicola Da Rio,F,M,M, ;
1465310242,2016-06-07 07:37:22,Da Rio,F,M,M, ;
1465311072,2016-06-07 07:51:12,Jeffries,F,M,MMF,3rd is self-admitted comment ;
1465311072,2016-06-07 07:51:12,Rob Jeffï¿¿ries,F,M,MMF, ;
1465312098,2016-06-07 08:08:18,Mark Pecaut,F,M,MMFM, ;
1465312103,2016-06-07 08:08:23,Pecaut,F,M,MMFM, ;
1465312882,2016-06-07 08:21:22,Ruth Angus,F,F,MM, ;
1465312894,2016-06-07 08:21:34,Angus,F,F,MM,1st person asked 2 Qs ;
1465313792,2016-06-07 08:36:32,SÃ¸ren Meibom,F,M,FM, ;
1465313793,2016-06-07 08:36:33,Meibom,F,M,FM, ;
1465370619,2016-06-08 00:23:39,,,,, ;
1465371321,2016-06-08 00:35:21,Fuller ,M,M,FMMMMM, ;
1465371405,2016-06-08 00:36:45,Fuller,M,M,FMMMMM,4th is a self admitted comment  ;
1465371449,2016-06-08 00:37:29,Jim Fuller,M,M,FMMMMM, ;
1465372572,2016-06-08 00:56:12,van Saders,M,F,MM,1st was 3 challenging comments ;
1465372572,2016-06-08 00:56:12,Jennifer van Saders,M,F,MM, ;
1465372574,2016-06-08 00:56:14,Van saders,M,F,MM, ;
1465373726,2016-06-08 01:15:26,Victor RÃ©ville,M,M,MMF, ;
1465373729,2016-06-08 01:15:29,Reville,M,M,MMF, ;
1465373740,2016-06-08 01:15:40,Reville,M,M,MMF,3rd was a comment ;
1465375100,2016-06-08 01:38:20,Garraffo,M,F,MMM, ;
1465375141,2016-06-08 01:39:01,Cecilia Garraffo,M,F,MMM, ;
1465375303,2016-06-08 01:41:43,Garraffo ,M,F,MMM,1st is a comment/lecture ;
1465377938,2016-06-08 02:25:38,Gregory,M,M,M, ;
1465377949,2016-06-08 02:25:49,Scott Gregory,M,M,M, ;
1465379163,2016-06-08 02:46:03,Newton,M,F,MMMMM, ;
1465379172,2016-06-08 02:46:12,Elisabeth Newton,M,F,MMMMM, ;
1465379173,2016-06-08 02:46:13,Newton ,M,F,MMMMM, ;
1465381112,2016-06-08 03:18:32,HÃ¶fner ,M,F,FFMM,Repeat of first person, then a new person, then the dude was a comment. Then chair. ;
1465381123,2016-06-08 03:18:43,Hofner,M,F,FFFMM,1st 2 were same person, 3rd was a comment ;
1465381226,2016-06-08 03:20:26,Hofner,M,F,FFFMMM,1st 2 were same person, 3rd was a comment  ;
1465381227,2016-06-08 03:20:27,Susanne HÃ¶fner,M,F,FFFMMM, ;
1465382474,2016-06-08 03:41:14,Maercker ,M,M,FFMF, ;
1465382566,2016-06-08 03:42:46,Maercker,M,M,FFMM, ;
1465382576,2016-06-08 03:42:56,Matthias Maercker,M,M,FFMFM, ;
1465457781,2016-06-09 00:36:21,Kowalski,M,M,MMMM, ;
1465457784,2016-06-09 00:36:24,Adam Kowalski,M,M,MMMM, ;
1465459196,2016-06-09 00:59:56,Caballero,M,M,MMFMMM, ;
1465459227,2016-06-09 01:00:27,Jose A. Caballero,M,M,MMFMMM, ;
1465460431,2016-06-09 01:20:31,Kochukhov ,M,M,MMMM, ;
1465460443,2016-06-09 01:20:43,Oleg Kochukhov,M,M,MMMM, ;
1465465035,2016-06-09 02:37:15,Vidotto,M,F,FMMMM,Plenty of comments and concerns ;
1465465100,2016-06-09 02:38:20,Aline Vidotto,M,F,FMMMM, ;
1465465111,2016-06-09 02:38:31,Vidotto,M,F,FMMMM,every one was a comment/lecture, including the final one from the chair ;
1465466467,2016-06-09 03:01:07,Dumusque,M,M,MMFFM, ;
1465466478,2016-06-09 03:01:18,Xavier Dumusque,M,M,MMFFM, ;
1465467187,2016-06-09 03:13:07,Dumusque,M,M,MMFFM,1st is a comment, 5th is a comment ;
1465467240,2016-06-09 03:14:00,Dumusque,M,M,MMFFM,1st and 5th were comments ;
1465467680,2016-06-09 03:21:20,Beate Stelzer,M,F,MMFMM, ;
1465467683,2016-06-09 03:21:23,Stelzer,M,F,MMFMM,1st was a comment + a kind of question,  ;
1465467684,2016-06-09 03:21:24,Stelzer,M,F,MMFMM, ;
1465468638,2016-06-09 03:37:18,Annelies Mortier,M,F,FM, ;
1465468648,2016-06-09 03:37:28,Mortier,M,F,MFM,1st was a comment,  ;
1465468657,2016-06-09 03:37:37,Mortier,M,F,MFM, ;
1465475035,2016-06-09 05:23:55,Poul Erik Nissen,F,M,MMF, ;
1465476182,2016-06-09 05:43:02,Jorge Melendez,F,M,FMM, ;
1465476755,2016-06-09 05:52:35,Solanki,F,M,MM, ;
1465477255,2016-06-09 06:00:55,Elisa Delgado Mena,F,F,MFM, ;
1465478083,2016-06-09 06:14:43,Basri,F,M,M, ;
1465478107,2016-06-09 06:15:07,Lorenzo Spina (Thursday splinter),F,M,FMF, ;
1465478669,2016-06-09 06:24:29,Booth,F,F,FM, ;
1465478808,2016-06-09 06:26:48,Morgan Deal,F,M,FMM, ;
1465479464,2016-06-09 06:37:44,Lehtinen,F,M,M,question was mostly a lecture ;
1465481034,2016-06-09 07:03:54,Bengt Gustafsson,F,M,M, ;
1465482242,2016-06-09 07:24:02,Karin Lind,F,F,MFM, ;
1465482315,2016-06-09 07:25:15,See,F,M,MM, ;
1465483343,2016-06-09 07:42:23,Martin Asplund,F,M,MMM, ;
1465483570,2016-06-09 07:46:10,Jouve,M,F,M, ;
1465484055,2016-06-09 07:54:15,Satoshi Honda,F,M,FF, ;
1465484455,2016-06-09 08:00:55,Metcalfe,M,M,MM,2nd was a comment ;
1465484900,2016-06-09 08:08:20,Paul Beck,F,M,FFMM, ;
1465485049,2016-06-09 08:10:49,Auguston,M,M,,no questions ;
1465486347,2016-06-09 08:32:27,variability splinter *discussion*,M,,MMMMMMMFMMMMFMFMMMMMMMMM,Total unique participants = 9 men & 2 women.  ;
1465544110,2016-06-10 00:35:10,Amanda Karakas,M,F,MFFFM, ;
1465545357,2016-06-10 00:55:57,Noriyuki Matsunaga,M,M,MMFM, ;
1465546569,2016-06-10 01:16:09,Ka Tat Wong,M,M,MFM, ;
1465547127,2016-06-10 01:25:27,Jamie Tayar,M,F,M, ;
1465547760,2016-06-10 01:36:00,Meredith L. Rawls,M,F,MM, ;
1465550888,2016-06-10 02:28:08,Soï¿¿a Feltzing,M,F,MMM, ;
1465552368,2016-06-10 02:52:48,Louise Howes,M,F,MMMFM, ;
1465553602,2016-06-10 03:13:22,Jenny Patience (Plenary),M,F,MMM, ;
1465554956,2016-06-10 03:35:56,Andrea Dieball,M,F,MMMM, ;
